gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,2,6144,3072,torch.float8_e4m3fn,flydsl,2314,0,5.3939,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x2_default,14.0,3504.9,0.0
gfx950,256,2,6144,6144,torch.float8_e4m3fn,flydsl,2406,0,7.9725,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x0x1_default,18.94,4739.49,0.0
gfx950,256,4,6144,2048,torch.float8_e4m3fn,flydsl,2374,0,4.8795,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x1_default,20.63,2590.48,0.0
gfx950,256,4,6144,3072,torch.float8_e4m3fn,flydsl,2406,0,5.3614,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x0x1_default,28.16,3531.88,0.0
gfx950,256,4,6144,6144,torch.float8_e4m3fn,flydsl,2406,0,7.9776,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x0x1_default,37.85,4741.08,0.0
gfx950,256,8,6144,2048,torch.float8_e4m3fn,flydsl,2374,0,4.9225,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x1_default,40.9,2579.5,0.0
gfx950,256,8,6144,3072,torch.float8_e4m3fn,flydsl,2406,0,5.3567,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x0x1_default,56.38,3546.45,0.0
gfx950,256,8,6144,6144,torch.float8_e4m3fn,flydsl,2390,0,8.0209,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x1x0x1_default,75.3,4724.68,0.0
gfx950,256,16,6144,2048,torch.float8_e4m3fn,flydsl,2374,0,4.994,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x1_default,80.63,2565.54,0.0
gfx950,256,16,6144,3072,torch.float8_e4m3fn,flydsl,2406,0,5.5715,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x0x1_default,108.41,3431.77,0.0
gfx950,256,16,6144,6144,torch.float8_e4m3fn,flydsl,2390,0,8.5647,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x1x0x1_default,141.04,4441.91,0.0
gfx950,256,32,6144,2048,torch.float8_e4m3fn,flydsl,2315,0,5.623,flydsl_bpreshuflle_32x32x1024_F8_F8_B16_0x0x0x2_default,143.22,2319.34,0.0
gfx950,256,32,6144,3072,torch.float8_e4m3fn,flydsl,2375,0,6.8624,flydsl_bpreshuflle_32x32x1024_F8_F8_B16_0x0x0x1_default,176.03,2822.03,0.0
gfx950,256,32,6144,6144,torch.float8_e4m3fn,flydsl,2391,0,10.3036,flydsl_bpreshuflle_32x32x1024_F8_F8_B16_0x1x0x1_default,234.47,3720.89,0.0
