gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,128,512,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,2.643,sol2,0.0,0.05,50.08
gfx950,256,2,128,512,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,2.1438,sol2,0.0,0.12,62.33
gfx950,256,4,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,154,1,2.7838,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,0.19,48.92
gfx950,256,8,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,156,1,2.7438,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,0.38,51.5
gfx950,256,16,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,102,1,2.7251,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,0.77,55.61
gfx950,256,32,128,512,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,2.8939,auto,0.0,1.45,59.45
gfx950,256,48,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,54,1,3.2122,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x3_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,1.96,59.93
gfx950,256,64,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,47,1,3.195,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x4_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,2.63,66.66
gfx950,256,80,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,465,1,3.1917,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x4_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,3.29,73.15
gfx950,256,96,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,465,1,3.203,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x4_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,3.93,79.29
gfx950,256,112,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,495,1,3.2599,flydsl_hgemm_abf16_wbf16_bf16_t16x16x64x9_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,4.5,84.18
gfx950,256,128,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,485,1,3.1906,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x4_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,5.26,92.43
gfx950,256,144,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,47,1,3.2018,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x4_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,5.89,98.5
gfx950,256,160,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,473,1,3.255,flydsl_hgemm_abf16_wbf16_bf16_t16x16x256x3_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0012,6.44,103.19
gfx950,256,176,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,467,1,3.2082,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x5_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,7.19,111.08
gfx950,256,192,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,467,1,3.1874,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x5_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,7.9,118.23
gfx950,256,208,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,465,1,3.2266,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x4_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,8.45,123.14
gfx950,256,224,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,576,1,3.2622,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x9_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,9.0,128.07
gfx950,256,240,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,487,1,3.2078,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x5_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,9.81,136.63
gfx950,256,256,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,485,1,3.243,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x4_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,10.35,141.46
gfx950,256,288,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,573,1,3.2882,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,11.48,151.97
gfx950,256,320,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,465,1,3.2942,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x4_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,12.73,164.13
gfx950,256,352,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,567,1,3.311,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,13.93,175.67
gfx950,256,384,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,567,1,3.301,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,15.25,188.61
gfx950,256,416,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,950,1,3.3858,flydsl_hgemm_abf16_wbf16_bf16_t32x16x64x8_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,16.1,195.98
gfx950,256,448,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,567,1,3.2938,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,17.83,213.89
gfx950,256,480,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,567,1,3.3114,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,19.0,225.12
gfx950,256,512,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,533,1,3.3614,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,19.96,233.96
gfx950,256,544,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,591,1,3.2966,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x9_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,21.63,250.98
gfx950,256,576,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,537,1,3.3473,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,22.55,259.42
gfx950,256,608,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,537,1,3.371,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,23.64,269.75
gfx950,256,640,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,537,1,3.3546,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,25.01,283.27
gfx950,256,672,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,588,1,3.3702,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,26.14,294.12
gfx950,256,704,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,579,1,3.3408,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,27.62,308.97
gfx950,256,736,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,582,1,3.3366,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x9_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,28.91,321.63
gfx950,256,768,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,467,1,3.527,flydsl_hgemm_abf16_wbf16_bf16_t16x16x128x4_ks1_w1x1x1_bias0_ktail0_gm4_pft_gfx950,0.0,28.54,315.88
gfx950,256,800,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,534,1,3.4002,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,30.84,339.71
gfx950,256,832,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,577,1,3.5062,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,31.1,341.12
gfx950,256,864,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,534,1,3.3738,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,33.57,366.65
gfx950,256,896,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,530,1,3.4335,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,34.2,372.2
gfx950,256,928,128,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,534,1,3.3954,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,35.82,388.44
